Orders for: a


Pending orders:
| Name                      |      Type      | Paid? |    Size    |  Price  |   Weight   | ID        |
| gehlcdimxufhcgeqfvd       | Truck Delivery | No    | Special    | $195.30 | 221.08 kg  | 717       |
| gembmiaqeit               | Truck Delivery | No    | Special    | $50.00  | 52.81 kg   | 899       |
| geyygoosyzyhtqgvdyeiajqjj | Parcel         | No    | 25988.28   | $59.33  | 27.79 kg   | 971       |
| gflonbtgokd               | Envelope       | No    | 874.87     | $8.32   | 85.29 kg   | 891       |
| gfrcclmznmjugwwbsqfc      | Envelope       | No    | 60.77      | $2.00   | 55.29 kg   | 81        |
| ggkytbiolydn              | Parcel         | No    | 18749.52   | $36.59  | 14.87 kg   | 90        |
| ghqilwncnk                | Parcel         | No    | 204102.76  | $221.10 | 14.17 kg   | 633       |
| ghzogrnntiggchnjhasntxpr  | Parcel         | No    | 363719.09  | $402.68 | 32.47 kg   | 875       |
| gienatjzwx                | Envelope       | No    | 78.33      | $2.00   | 83.83 kg   | 242       |
| giqdscwtsbxxzkghskg       | Envelope       | No    | 114.46     | $2.00   | 68.97 kg   | 511       |
| gjaggzyrfxdt              | Envelope       | No    | 725.60     | $6.83   | 93.19 kg   | 864       |
| gjcmhxlhasqkau            | Envelope       | No    | 500.88     | $4.58   | 70.15 kg   | 345       |
| gkcfqckcotzgkubmjr        | Envelope       | No    | 177.08     | $2.00   | 51.84 kg   | 38        |
| gkivbujfinzyhcejcjojon    | Truck Delivery | No    | Special    | $149.40 | 182.83 kg  | 434       |
| glgriykldkdfrdrxjstcwrsxg | Truck Delivery | No    | Special    | $207.94 | 231.61 kg  | 260       |
| glqtlmcjvr                | Truck Delivery | No    | Special    | $50.00  | 13.11 kg   | 671       |
| gmfcswtwkkxlcbhqk         | Envelope       | No    | 380.58     | $3.38   | 1.42 kg    | 129       |
| gnrdoiz                   | Envelope       | No    | 110.50     | $2.00   | 11.46 kg   | 432       |
| gpdoxju                   | Envelope       | No    | 222.79     | $2.00   | 73.66 kg   | 629       |
| gpkmtdlvxrvljsu           | Truck Delivery | No    | Special    | $225.34 | 246.11 kg  | 975       |
| gpugxtuhlcvspi            | Envelope       | No    | 11.31      | $2.00   | 30.87 kg   | 160       |
| gtagrnffmnpinwle          | Envelope       | No    | 1172.26    | $11.30  | 33.02 kg   | 346       |
| gtdrdolgjmfubzzpnhjaqwotz | Envelope       | No    | 31.42      | $2.00   | 24.54 kg   | 464       |
| gtxyqqiqqydfdcvof         | Envelope       | No    | 819.08     | $7.77   | 24.74 kg   | 743       |
| guqwsokldzs               | Parcel         | No    | 83844.39   | $94.71  | 9.06 kg    | 399       |
| gwmooqrln                 | Truck Delivery | No    | Special    | $50.00  | 38.27 kg   | 682       |
| gybvmajeyfaxegseij        | Truck Delivery | No    | Special    | $119.81 | 158.17 kg  | 307       |
| gyrhlthxwgjprwvh          | Truck Delivery | No    | Special    | $216.18 | 238.49 kg  | 190       |
| gysuyo                    | Truck Delivery | No    | Special    | $170.14 | 200.11 kg  | 848       |
| haoeebcvy                 | Parcel         | No    | 158993.01  | $256.25 | 81.05 kg   | 801       |
| haryevoznqgqb             | Truck Delivery | No    | Special    | $50.00  | 8.62 kg    | 624       |
| hbaozasehczx              | Envelope       | No    | 303.56     | $2.61   | 28.36 kg   | 807       |
| hbjsuthsy                 | Parcel         | No    | 30753.54   | $63.56  | 27.34 kg   | 169       |
| hbqwuxdkkfsuvrtgjtp       | Truck Delivery | No    | Special    | $50.00  | 3.97 kg    | 774       |
| hcsmp                     | Truck Delivery | No    | Special    | $263.07 | 277.55 kg  | 16        |
| hdfsjwurj                 | Truck Delivery | No    | Special    | $306.27 | 313.55 kg  | 885       |
| hdkjcsxohd                | Envelope       | No    | 456.24     | $4.14   | 28.09 kg   | 472       |
| hezoh                     | Truck Delivery | No    | Special    | $290.14 | 300.11 kg  | 361       |
| hfscdrom                  | Parcel         | No    | 35527.15   | $59.25  | 19.77 kg   | 756       |
| hfyesqxdvrjgfv            | Parcel         | No    | 1835.85    | $84.49  | 68.87 kg   | 468       |
